"distance","id","long","lat","by"
18.3839833480967,32582657756,-156.457628,58.672577,"row.names"
76613.1039475873,31895088881,-154.074858,58.430738,"row.names"
76613.1039475873,31895087731,-154.074858,58.430738,"row.names"
76613.1039475873,31895086621,-154.074858,58.430738,"row.names"
76612.0710024639,31974153066,-154.074875,58.430733,"row.names"
76435.8876678629,31895083751,-154.078125,58.432095,"row.names"
62945.9522818647,30483191814,-154.310428,58.313508,"row.names"
3742.59624525678,30883060131,-156.489856,58.623694,"row.names"
718.87012681951,22763441628,-155.792064,58.554713,"row.names"
717.225828658635,30906055266,-155.791814,58.554836,"row.names"
716.553432427343,30906039306,-155.791823,58.554822,"row.names"
710.73088987278,30906033126,-155.791928,58.554683,"row.names"
630.394795590169,30906028246,-155.790998,58.554141,"row.names"
703.498652187667,30906022896,-155.7916,58.554775,"row.names"
630.610452644821,22763404688,-155.79097,58.554161,"row.names"
717.442252269924,30853641261,-155.791898,58.554791,"row.names"
712.85165900935,30825252592,-155.791878,58.554741,"row.names"
710.292578082736,30905971156,-155.791975,58.554649,"row.names"
716.343711947512,30905963076,-155.792028,58.5547,"row.names"
722.295377157623,30640282400,-155.791995,58.5548,"row.names"
631.943052814527,22763356608,-155.791139,58.554075,"row.names"
721.647771545291,22763351698,-155.791884,58.554855,"row.names"
633.596322991022,22763337168,-155.79087,58.554261,"row.names"
715.487292834874,22763329978,-155.791828,58.554805,"row.names"
715.487292834874,30942091835,-155.791828,58.554805,"row.names"
732.522008218168,30942084575,-155.792137,58.554855,"row.names"
720.721140773355,30942076745,-155.791887,58.554841,"row.names"
616.599680544323,30825186032,-155.791084,58.553891,"row.names"
619.944172675588,30905895166,-155.790825,58.554102,"row.names"
730.75177692473,30640199170,-155.7919,58.554966,"row.names"
718.273797823176,30825136672,-155.791998,58.554744,"row.names"
717.346909703241,30640185280,-155.791939,58.554766,"row.names"
705.203650625677,30640179750,-155.791709,58.554736,"row.names"
703.82306287896,30640174890,-155.791717,58.554713,"row.names"
685.974197560868,30640168060,-155.791581,58.554552,"row.names"
705.35304515222,25306145979,-155.791862,58.554649,"row.names"
706.455822738185,25306132539,-155.791845,58.554674,"row.names"
716.075999893159,30904692316,-155.792,58.554713,"row.names"
717.156816971794,30824102322,-155.791823,58.55483,"row.names"
697.624162493156,30824097772,-155.791764,58.554602,"row.names"
721.887241710898,25304990999,-155.791923,58.554836,"row.names"
27.7286407245062,30904658016,-155.778334,58.552761,"row.names"
715.646781386209,30904631466,-155.791667,58.554897,"row.names"
717.451243109148,25304952489,-155.79195,58.554761,"row.names"
713.672510635877,25304945419,-155.791662,58.554874,"row.names"
703.82306287896,25304939129,-155.791717,58.554713,"row.names"
715.801228717132,30824030092,-155.791917,58.554758,"row.names"
704.702728687824,30824027692,-155.792048,58.554527,"row.names"
701.996814774992,30824024952,-155.791812,58.554633,"row.names"
713.965944024538,30940835335,-155.791845,58.554775,"row.names"
720.111469867491,30940820815,-155.791848,58.554855,"row.names"
717.780274915459,30940814225,-155.791973,58.554752,"row.names"
737.243190361407,30639054670,-155.792037,58.554975,"row.names"
725.646457633918,30904557496,-155.791914,58.554891,"row.names"
721.812987983692,30904550696,-155.791989,58.554797,"row.names"
726.995080325784,30904544176,-155.792095,58.554805,"row.names"
719.502297116109,29902500202,-155.791951,58.554788,"row.names"
719.502297116109,29902498012,-155.791951,58.554788,"row.names"
720.951844211705,29902495502,-155.791988,58.554786,"row.names"
3.34793201834871,29821519665,-155.777895,58.552136,"row.names"
3.34793201834871,29821517275,-155.777895,58.552136,"row.names"
3.34793201834871,29821514715,-155.777895,58.552136,"row.names"
3.34793201834871,29821510315,-155.777895,58.552136,"row.names"
3.34793201834871,29821507735,-155.777895,58.552136,"row.names"
3.34793201834871,29821504865,-155.777895,58.552136,"row.names"
3.34793201834871,29821502425,-155.777895,58.552136,"row.names"
3.34793201834871,29821499575,-155.777895,58.552136,"row.names"
3.34793201834871,29195193933,-155.777895,58.552136,"row.names"
3.34793201834871,29195190053,-155.777895,58.552136,"row.names"
3.34793201834871,29785688536,-155.777895,58.552136,"row.names"
3.34793201834871,29785686156,-155.777895,58.552136,"row.names"
3.34793201834871,29785684036,-155.777895,58.552136,"row.names"
3.34793201834871,29708456182,-155.777895,58.552136,"row.names"
3.34793201834871,29195161493,-155.777895,58.552136,"row.names"
3.34793201834871,29195159433,-155.777895,58.552136,"row.names"
3.34793201834871,29195155673,-155.777895,58.552136,"row.names"
3.34793201834871,29195153173,-155.777895,58.552136,"row.names"
3.34793201834871,29528559760,-155.777895,58.552136,"row.names"
3.34793201834871,29528556260,-155.777895,58.552136,"row.names"
3.34793201834871,29528554830,-155.777895,58.552136,"row.names"
3.34793201834871,29528553180,-155.777895,58.552136,"row.names"
3.34793201834871,29528551630,-155.777895,58.552136,"row.names"
3.34793201834871,29528547030,-155.777895,58.552136,"row.names"
3.34793201834871,29528543880,-155.777895,58.552136,"row.names"
3.34793201834871,29528541810,-155.777895,58.552136,"row.names"
3.34793201834871,29528539640,-155.777895,58.552136,"row.names"
3.34793201834871,29528537020,-155.777895,58.552136,"row.names"
3.34793201834871,29528534580,-155.777895,58.552136,"row.names"
3.34793201834871,29738556331,-155.777895,58.552136,"row.names"
3.34793201834871,29738554101,-155.777895,58.552136,"row.names"
3.34793201834871,29738547091,-155.777895,58.552136,"row.names"
3.34793201834871,29738544511,-155.777895,58.552136,"row.names"
3.34793201834871,29708408292,-155.777895,58.552136,"row.names"
3.34793201834871,29708406782,-155.777895,58.552136,"row.names"
