distance,id,long,lat
105519.0945,44656763935,-154.350953,67.064644
105519.0945,44845770044,-154.350953,67.064644
105519.0945,44845671824,-154.350953,67.064644
101348.3926,43752847680,-154.262506,67.079927
101348.3926,44845506914,-154.262506,67.079927
101348.3926,45570383951,-154.262506,67.079927
101348.8419,45519946232,-154.262506,67.079919
101348.8419,44656332725,-154.262506,67.079919
104944.6584,43752728920,-154.330725,67.061388
104944.6584,44845385964,-154.330725,67.061388
104885.3745,44845341374,-154.329703,67.061761
104885.3745,30629172217,-154.329703,67.061761
104885.3745,30629156267,-154.329703,67.061761
63716.78827,42483708720,-153.550395,67.279861
65416.7311,43385249415,-153.715956,67.422877
75623.86376,30424498998,-153.97902,67.487583
84548.66571,44288937461,-154.168859,67.4198
81090.72768,29348352187,-154.090289,67.428
71214.55972,43364401975,-153.874345,67.483102
16663.95251,31312337166,-151.534959,68.002419
24.79530774,31233550941,-151.744445,68.134166
12.68831588,31312334986,-151.735809,68.141952
8.217665811,31312334666,-151.735748,68.141991
35.17979006,31312334346,-151.738739,68.139861
2.817343983,31348640325,-151.734362,68.141227
15.31732377,31312333056,-151.735353,68.143455
1660.311532,30526168334,-151.774548,68.149413
49.61551289,31204420942,-151.741914,68.140633
66.10319858,31204420722,-151.74257,68.141144
69.28724016,31312330926,-151.741425,68.140183
181.0434035,31312329176,-151.74345,68.138836
1.355187506,30979548460,-151.738639,68.140388
4.703030101,31348634215,-151.7375,68.139722
23.56367503,30526165294,-151.718345,68.147458
10.42754806,30979547510,-151.719039,68.147372
22.39160814,31204414772,-151.718598,68.147502
139.4592984,31312327636,-151.743334,68.14
136.1916548,31348632935,-151.743534,68.140136
175.8387844,31348632715,-151.744362,68.139955
71.12596677,31348631125,-151.741523,68.140113
27.43994094,31204410272,-151.741575,68.140827
9.385321669,31233537601,-151.741003,68.140786
15.06274639,30540906363,-151.7405,68.141133
41677.53148,30124312982,-150.683153,68.168986
79658.34958,24952029630,-153.676756,68.199211
80970.07685,15034684609,-154.090256,67.435386
80983.25294,15034683629,-154.089667,67.432972
82726.75921,15204399795,-154.126595,67.421963
73390.80981,15201354391,-153.927181,67.491283
75287.12909,15017832978,-153.971695,67.490786
71885.32769,15204020472,-153.891039,67.487463
71193.19709,15204393885,-153.87387,67.48323
71218.9077,15181371756,-153.874448,67.483105
71218.9077,15017718410,-153.874448,67.483105
71420.06741,15181370106,-153.87957,67.484916
71636.92508,15204390885,-153.88495,67.486252
71893.96954,15017820767,-153.891314,67.487825
75287.12909,15182502561,-153.971695,67.490786
75287.12909,15185527635,-153.971695,67.490786
78029.88009,15185526775,-154.029573,67.462
80917.26356,14998748019,-154.089837,67.437661
81073.82438,15182498991,-154.092448,67.43468
72725.67589,14998746679,-153.912131,67.494683
80968.24479,15143997245,-154.08876,67.43152
81011.10003,14957141799,-154.086095,67.422313
81016.97232,14947912419,-154.083859,67.416747
81016.71936,14947872249,-154.083853,67.416747
