geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
165,Maple-Prairie Neighborhood Association,1732,79.6,289762,1993,17,12,1993,3.5,6.3,21.7,26.9,5,2019
132,East Buckeye Neighborhood Association,2043,85.2,244145,1986,18,24,1986,5.8,6.5,23.0,32.9,1,2019
90,Bluff Acres Neighborhood Association,3725,67.6,225482,1980,71,115,1980,7.7,6.7,18.3,20.1,39,2019
151,Bram's Addition Neighborhood Association,1282,24.4,143451,1965,65,59,1965,8.5,5.9,30.9,31.0,26,2019
146,Midvale Heights Community Association,3479,83.6,315728,1958,81,59,1958,18.3,6.2,20.1,25.0,5,2019
361,Truax Neighborhood Association,191,19.5,"N/A""""",2014,12,10,2014,2.7,4.5,43.3,55.3,8,2019
348,State-Langdon Neighborhood Association,10144,78.9,"N/A""""",1973,157,326,1973,0.2,7.0,0.3,0.3,80,2019
149,Waunona Neighborhood Association,1027,71.0,400184,1959,17,15,1959,14.5,6.3,20.8,22.9,1,2019
98,Brentwood Village Association,1128,63.2,241197,1962,9,41,1962,14.9,6.8,20.7,22.4,10,2019
107,Hiestand Neighborhood Association,3560,58.9,219416,1979,50,64,1979,10.7,7.5,25.2,32.3,14,2019
88,High Crossing Neighborhood Association,1020,75.5,312660,2003,57,39,2003,11.9,6.6,14.8,15.2,3,2019
137,South Campus Property Owners Association,4194,80.5,"N/A""""",1992,142,96,1992,0.3,7.0,0.1,0.1,14,2019
156,Capitol View Neighborhood Association,388,40.5,175668,1966,5,6,1966,5.9,6.7,29.5,28.8,0,2019
84,Cherokee Park Neighborhood Association,648,93.6,334763,1977,0,6,1977,18.0,6.2,17.6,23.0,0,2019
143,Wexford Ridge Neighborhood,400,27.3,"N/A""""",1976,2,19,1976,10.7,7.4,39.9,51.9,5,2019
353,Twin Oaks Neighborhood Association,192,52.3,232433,2005,0,5,2005,0.9,8.0,42.6,57.8,1,2019
128,Walnut Grove Homeowners Association,981,80.7,333504,1976,12,2,1976,15.4,7.2,21.3,28.6,0,2019
86,Westchester Gardens Neighborhood Association,1302,65.7,218622,1985,74,110,1985,4.2,7.0,24.8,31.0,15,2019
164,Westhaven Trails Homeowners Assoc,1956,66.2,242614,1990,12,32,1990,2.8,6.0,26.5,33.3,2,2019
